Geno,Site,ED50,Species,MMM,Relative_Threshold,Collection_temp
5,Obock,35.67727912,Stylophora,30.9,4.777279118,26.64
6,Obock,35.44904708,Stylophora,30.9,4.549047077,26.64
7,Obock,35.76405541,Stylophora,30.9,4.864055412,26.64
1,Eilat,33.95505647,Stylophora,27.01,6.945056471,28.15
2,Eilat,34.97377196,Stylophora,27.01,7.963771958,28.15
3,Eilat,34.66098296,Stylophora,27.01,7.650982958,28.15
4,Eilat,34.08811397,Stylophora,27.01,7.078113975,28.15
5,Eilat,34.69191763,Stylophora,27.01,7.681917632,28.15
6,Eilat,35.40285739,Stylophora,27.01,8.392857389,28.15
7,Eilat,35.25133188,Stylophora,27.01,8.241331884,28.15
1,AlWajh,35.73355632,Stylophora,30.04,5.693556317,31.55
2,AlWajh,36.58395492,Stylophora,30.04,6.543954918,31.55
3,AlWajh,36.78469288,Stylophora,30.04,6.744692883,31.55
4,AlWajh,36.05087063,Stylophora,30.04,6.010870629,31.55
5,AlWajh,36.55405106,Stylophora,30.04,6.514051059,31.55
6,AlWajh,37.32938952,Stylophora,30.04,7.289389524,31.55
7,AlWajh,36.15751613,Stylophora,30.04,6.117516132,31.55
1,Yanbu,36.69306778,Stylophora,29.71,6.983067784,30.87
2,Yanbu,36.43111661,Stylophora,29.71,6.72111661,30.87
3,Yanbu,36.51408491,Stylophora,29.71,6.804084911,30.87
4,Yanbu,37.16996984,Stylophora,29.71,7.459969838,30.87
5,Yanbu,36.41014954,Stylophora,29.71,6.700149538,30.87
6,Yanbu,36.86540845,Stylophora,29.71,7.155408447,30.87
7,Yanbu,37.99005271,Stylophora,29.71,8.280052713,30.87
1,AlFahal,37.21639079,Stylophora,30.76,6.456390788,32.1
2,AlFahal,37.50521097,Stylophora,30.76,6.745210974,32.1
3,AlFahal,37.68661808,Stylophora,30.76,6.926618077,32.1
4,AlFahal,36.89908776,Stylophora,30.76,6.139087761,32.1
5,AlFahal,37.08227747,Stylophora,30.76,6.322277473,32.1
6,AlFahal,36.97009706,Stylophora,30.76,6.210097058,32.1
7,AlFahal,37.19446473,Stylophora,30.76,6.434464735,32.1
