PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_31_AlWajh1_4,2018_August_4,331654,14,41,23,30.00,31.94,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,337114,14,41,29,30.00,31.94,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,342578,14,41,34,30.00,31.94,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,348037,14,41,40,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,353494,14,41,45,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,358951,14,41,51,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,364416,14,41,56,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,369876,14,42,2,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,375336,14,42,10,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,383263,14,42,15,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,388726,14,42,21,30.00,31.87,CHL,30.00,31.69,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,394183,14,42,26,30.00,31.87,CHL,30.00,31.69,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,399642,14,42,31,30.00,31.87,CHL,30.00,31.69,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,405101,14,42,37,30.00,31.87,CHL,30.00,31.69,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
