PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,259755,14,12,16,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,265214,14,12,21,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,270669,14,12,26,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,276125,14,12,32,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,HTR,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,281579,14,12,37,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,287060,14,12,43,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,292520,14,12,48,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,297976,14,12,54,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,303431,14,12,59,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,308887,14,13,5,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,314346,14,13,14,30.33,32.00,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,323416,14,13,19,30.33,32.06,CHL,30.33,31.81,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,328870,14,13,25,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,334326,14,13,30,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,339781,14,13,36,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.69,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,345249,14,13,41,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.62,HTR,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,350728,14,13,47,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.62,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,356184,14,13,52,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.62,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,361639,14,13,57,30.33,32.00,CHL,30.33,31.75,CHL,30.50,30.62,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,367108,14,14,3,30.33,32.00,CHL,30.33,31.69,CHL,30.50,30.62,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,372564,14,14,8,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.62,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,378021,14,14,19,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.62,CHL,30.50,30.44,HTR,
