Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
WS4-33A,AlWajh,Stylophora,4,33,A,80,80,80,80
WS4-33B,AlWajh,Stylophora,4,33,B,80,80,100,80
WS4-36A,AlWajh,Stylophora,4,36,A,0,0,0,0
WS4-36B,AlWajh,Stylophora,4,36,B,0,0,0,0
WS4-39A,AlWajh,Stylophora,4,39,A,0,0,0,0
WS4-39B,AlWajh,Stylophora,4,39,B,0,20,0,0
WS5-30A,AlWajh,Stylophora,5,30,A,60,60,60,60
WS5-30B,AlWajh,Stylophora,5,30,B,80,80,80,80
WS5-33A,AlWajh,Stylophora,5,33,A,60,60,80,60
WS5-33B,AlWajh,Stylophora,5,33,B,80,80,100,80
WS5-36A,AlWajh,Stylophora,5,36,A,20,40,20,20
WS5-36B,AlWajh,Stylophora,5,36,B,20,40,20,20
WS5-39A,AlWajh,Stylophora,5,39,A,0,0,0,0
WS5-39B,AlWajh,Stylophora,5,39,B,0,20,0,0
WS6-30A,AlWajh,Stylophora,6,30,A,40,20,40,40
WS6-30B,AlWajh,Stylophora,6,30,B,80,80,80,80
WS6-33A,AlWajh,Stylophora,6,33,A,60,60,60,60
WS6-33B,AlWajh,Stylophora,6,33,B,60,60,80,60
WS6-36A,AlWajh,Stylophora,6,36,A,20,20,0,20
WS6-36B,AlWajh,Stylophora,6,36,B,0,0,0,0
WS6-39A,AlWajh,Stylophora,6,39,A,0,20,0,0
WS6-39B,AlWajh,Stylophora,6,39,B,0,0,0,0
WS7-30A,AlWajh,Stylophora,7,30,A,60,60,60,60
WS7-30B,AlWajh,Stylophora,7,30,B,100,100,100,100
WS7-33A,AlWajh,Stylophora,7,33,A,80,80,80,80
WS7-33B,AlWajh,Stylophora,7,33,B,60,60,80,60
WS7-36A,AlWajh,Stylophora,7,36,A,20,20,0,20
WS7-36B,AlWajh,Stylophora,7,36,B,0,20,0,0
WS7-39A,AlWajh,Stylophora,7,39,A,0,0,0,0
WS7-39B,AlWajh,Stylophora,7,39,B,0,20,0,0
YS1-30A,Yanbu,Stylophora,1,30,A,NA,NA,NA,NA
YS1-30B,Yanbu,Stylophora,1,30,B,100,100,100,100
YS1-33A,Yanbu,Stylophora,1,33,A,100,100,100,100
YS1-33B,Yanbu,Stylophora,1,33,B,100,100,100,100
YS1-36A,Yanbu,Stylophora,1,36,A,20,40,20,20
