Site,Temp,Species,Geno,Rep,Label,Sym_cm2,,,,,,,
Yanbu,30,Pocillopora,3,A,YP3-30A,1006773,,,,,,,
Yanbu,30,Pocillopora,4,A,YP4-30A,450001,,,,,,,
Yanbu,30,Pocillopora,5,A,YP5-30A,453920,,,,,,,
Yanbu,30,Pocillopora,6,A,YP6-30A,1063083,,,,,,,
Yanbu,30,Pocillopora,7,A,YP7-30A,628595,,,,,,,
Yanbu,30,Stylophora,1,A,YS1-30A,520134,,,,,,,
Yanbu,30,Stylophora,2,A,YS2-30A,1144902,,,,,,,
Yanbu,30,Stylophora,3,A,YS3-30A,537424,,,,,,,
Yanbu,30,Stylophora,4,A,YS4-30A,881327,,,,,,,
Yanbu,30,Stylophora,5,A,YS5-30A,861076,,,,,,,
Yanbu,30,Stylophora,6,A,YS6-30A,883512,,,,,,,
Yanbu,30,Stylophora,7,A,YS7-30A,980435,,,,,,,
Yanbu,30,Porites,1,A,YL1-30A,285341,,,,,,,
Yanbu,30,Porites,2,A,YL2-30A,706792,,,,,,,
Yanbu,30,Porites,3,A,YL3-30A,300779,,,,,,,
Yanbu,30,Porites,4,A,YL4-30A,543833,,,,,,,
Yanbu,30,Porites,5,A,YL5-30A,532920,,,,,,,
Yanbu,30,Porites,6,A,YL6-30A,916075,,,,,,,
Yanbu,30,Porites,7,A,YL7-30A,711170,,,,,,,
Eilat,33,Acropora,1,A,EA1-33A,34738,,,,,,,
Eilat,33,Acropora,2,A,EA2-33A,25893,,,,,,,
Eilat,33,Acropora,3,A,EA3-33A,13878,,,,,,,
Eilat,33,Acropora,4,A,EA4-33A,17701,,,,,,,
Eilat,33,Acropora,5,A,EA5-33A,14265,,,,,,,
Eilat,33,Acropora,6,A,EA6-33A,10652,,,,,,,
Eilat,33,Acropora,7,A,EA7-33A,37042,,,,,,,
Yanbu,33,Pocillopora,1,A,YP1-33A,530876,,,,,,,
Yanbu,33,Pocillopora,2,A,YP2-33A,863713,,,,,,,
Yanbu,33,Pocillopora,3,A,YP3-33A,661161,,,,,,,
Yanbu,33,Pocillopora,4,A,YP4-33A,385823,,,,,,,
Yanbu,33,Pocillopora,5,A,YP5-33A,283696,,,,,,,
Yanbu,33,Pocillopora,6,A,YP6-33A,1068031,,,,,,,
Yanbu,33,Pocillopora,7,A,YP7-33A,1458855,,,,,,,
Yanbu,33,Stylophora,1,A,YS1-33A,891146,,,,,,,
Yanbu,33,Stylophora,2,A,YS2-33A,874097,,,,,,,
Yanbu,33,Stylophora,3,A,YS3-33A,614109,,,,,,,
Yanbu,33,Stylophora,4,A,YS4-33A,786704,,,,,,,
Yanbu,33,Stylophora,5,A,YS5-33A,814185,,,,,,,
Yanbu,33,Stylophora,6,A,YS6-33A,1048104,,,,,,,
Yanbu,33,Stylophora,7,A,YS7-33A,594368,,,,,,,
AlFahal,30,Porites,1,A,KL1-30A,1047348,,,,,,,
AlFahal,30,Porites,2,A,KL2-30A,822055,,,,,,,
AlFahal,30,Porites,3,A,KL3-30A,1795637,,,,,,,
AlFahal,30,Porites,4,A,KL4-30A,1124832,,,,,,,
AlFahal,30,Porites,5,A,KL5-30A,733372,,,,,,,
AlFahal,30,Porites,6,A,KL6-30A,890830,,,,,,,
AlFahal,30,Porites,7,A,KL7-30A,832495,,,,,,,
AlWajh,36,Acropora,1,B,WA1-36B,352162,,,,,,,
AlWajh,36,Acropora,2,B,WA2-36B,195556,,,,,,,
AlWajh,36,Acropora,3,B,WA3-36B,177523,,,,,,,
AlWajh,36,Acropora,4,B,WA4-36B,93856,,,,,,,
AlWajh,36,Acropora,5,B,WA5-36B,134567,,,,,,,
AlWajh,36,Acropora,6,B,WA6-36B,179569,,,,,,,
AlWajh,36,Acropora,7,B,WA7-36B,236512,,,,,,,
Yanbu,36,Pocillopora,1,A,YP1-36A,160966,,,,,,,
Yanbu,36,Pocillopora,2,A,YP2-36A,282529,,,,,,,
Yanbu,36,Pocillopora,3,A,YP3-36A,88812,,,,,,,
Yanbu,36,Pocillopora,4,A,YP4-36A,35643,,,,,,,
Yanbu,36,Pocillopora,5,A,YP5-36A,298404,,,,,,,
Yanbu,36,Pocillopora,6,A,YP6-36A,699288,,,,,,,
Yanbu,36,Pocillopora,7,A,YP7-36A,363885,,,,,,,
Yanbu,36,Stylophora,1,A,YS1-36A,191291,,,,,,,
Yanbu,36,Stylophora,2,A,YS2-36A,850385,,,,,,,
Yanbu,36,Stylophora,3,A,YS3-36A,224320,,,,,,,
Yanbu,36,Stylophora,4,A,YS4-36A,281478,,,,,,,
Yanbu,36,Stylophora,5,A,YS5-36A,1123606,,,,,,,
Yanbu,36,Stylophora,6,A,YS6-36A,161913,,,,,,,
Yanbu,36,Stylophora,7,A,YS7-36A,551010,,,,,,,
AlQunfudhah,30,Porites,1,A,QL1-30A,647366,,,,,,,
AlQunfudhah,30,Porites,2,A,QL2-30A,1342455,,,,,,,
AlQunfudhah,30,Porites,3,A,QL3-30A,941886,,,,,,,
AlQunfudhah,30,Porites,4,A,QL4-30A,430946,,,,,,,
AlQunfudhah,30,Porites,5,A,QL5-30A,777002,,,,,,,
AlQunfudhah,30,Porites,6,A,QL6-30A,890711,,,,,,,
AlQunfudhah,30,Porites,7,A,QL7-30A,1088284,,,,,,,
Yanbu,36,Acropora,1,A,YA1-36A,105898,,,,,,,
Yanbu,36,Acropora,2,A,YA2-36A,128127,,,,,,,
Yanbu,36,Acropora,3,A,YA3-36A,216212,,,,,,,
Yanbu,36,Acropora,4,A,YA4-36A,144391,,,,,,,
Yanbu,36,Acropora,5,A,YA5-36A,315224,,,,,,,
Yanbu,36,Acropora,6,A,YA6-36A,221648,,,,,,,
Yanbu,36,Acropora,7,A,YA7-36A,119423,,,,,,,
Yanbu,39,Pocillopora,1,A,YP1-39A,4308,,,,,,,
Yanbu,39,Pocillopora,2,A,YP2-39A,6720,,,,,,,
Yanbu,39,Pocillopora,3,A,YP3-39A,4121,,,,,,,
Yanbu,39,Pocillopora,4,A,YP4-39A,40513,,,,,,,
Yanbu,39,Pocillopora,5,A,YP5-39A,12383,,,,,,,
Yanbu,39,Pocillopora,6,A,YP6-39A,7839,,,,,,,
Yanbu,39,Pocillopora,7,A,YP7-39A,3113,,,,,,,
Yanbu,39,Stylophora,1,A,YS1-39A,88271,,,,,,,
Yanbu,39,Stylophora,2,A,YS2-39A,488750,,,,,,,
Yanbu,39,Stylophora,3,A,YS3-39A,309452,,,,,,,
Yanbu,39,Stylophora,4,A,YS4-39A,166033,,,,,,,
Yanbu,39,Stylophora,5,A,YS5-39A,109413,,,,,,,
Yanbu,39,Stylophora,6,A,YS6-39A,127900,,,,,,,
Yanbu,39,Stylophora,7,A,YS7-39A,298430,,,,,,,
Yanbu,33,Porites,1,A,YL1-33A,430779,,,,,,,
Yanbu,33,Porites,2,A,YL2-33A,949334,,,,,,,
Yanbu,33,Porites,3,A,YL3-33A,425389,,,,,,,
Yanbu,33,Porites,4,A,YL4-33A,301500,,,,,,,
Yanbu,33,Porites,5,A,YL5-33A,363230,,,,,,,
Yanbu,33,Porites,6,A,YL6-33A,367543,,,,,,,
Yanbu,33,Porites,7,A,YL7-33A,557458,,,,,,,
AlFahal,30,Stylophora,1,A,KS1-30A,269278,,,,,,,
AlFahal,30,Stylophora,2,A,KS2-30A,357717,,,,,,,
AlFahal,30,Stylophora,3,A,KS3-30A,910590,,,,,,,
AlFahal,30,Stylophora,4,A,KS4-30A,520380,,,,,,,
AlFahal,30,Stylophora,5,A,KS5-30A,904245,,,,,,,
AlFahal,30,Stylophora,6,A,KS6-30A,676510,,,,,,,
AlFahal,30,Stylophora,7,A,KS7-30A,276220,,,,,,,
AlFahal,33,Porites,1,A,KL1-33A,1215430,,,,,,,
AlFahal,33,Porites,2,A,KL2-33A,540393,,,,,,,
AlFahal,33,Porites,3,A,KL3-33A,1363755,,,,,,,
AlFahal,33,Porites,4,A,KL4-33A,969874,,,,,,,
AlFahal,33,Porites,5,A,KL5-33A,552983,,,,,,,
AlFahal,33,Porites,6,A,KL6-33A,687010,,,,,,,
AlFahal,33,Porites,7,A,KL7-33A,455769,,,,,,,
AlFahal,33,Stylophora,1,A,KS1-33A,537581,,,,,,,
AlFahal,33,Stylophora,2,A,KS2-33A,458048,,,,,,,
AlFahal,33,Stylophora,3,A,KS3-33A,1114057,,,,,,,
AlFahal,33,Stylophora,4,A,KS4-33A,359820,,,,,,,
AlFahal,33,Stylophora,5,A,KS5-33A,1106755,,,,,,,
AlFahal,33,Stylophora,6,A,KS6-33A,663283,,,,,,,
AlFahal,33,Stylophora,7,A,KS7-33A,787491,,,,,,,
AlQunfudhah,33,Porites,1,A,QL1-33A,567282,,,,,,,
AlQunfudhah,33,Porites,2,A,QL2-33A,1384114,,,,,,,
AlQunfudhah,33,Porites,3,A,QL3-33A,679194,,,,,,,
AlQunfudhah,33,Porites,4,A,QL4-33A,714218,,,,,,,
AlQunfudhah,33,Porites,5,A,QL5-33A,1182172,,,,,,,
AlQunfudhah,33,Porites,6,A,QL6-33A,518985,,,,,,,
AlQunfudhah,33,Porites,7,A,QL7-33A,801175,,,,,,,
AlFahal,36,Stylophora,1,A,KS1-36A,440892,,,,,,,
AlFahal,36,Stylophora,2,A,KS2-36A,204692,,,,,,,2.238909042
AlFahal,36,Stylophora,3,A,KS3-36A,636844,,,,,,,
AlFahal,36,Stylophora,4,A,KS4-36A,352576,,,,,,,
AlFahal,36,Stylophora,5,A,KS5-36A,984371,,,,,,,
AlFahal,36,Stylophora,6,A,KS6-36A,701441,,,,,,,
AlFahal,36,Stylophora,7,A,KS7-36A,275875,,,,,,,
Yanbu,36,Porites,1,A,YL1-36A,210194,,,,,,,
Yanbu,36,Porites,2,A,YL2-36A,722721,,,,,,,
Yanbu,36,Porites,3,A,YL3-36A,178412,,,,,,,
Yanbu,36,Porites,4,A,YL4-36A,919640,,,,,,,
Yanbu,36,Porites,5,A,YL5-36A,146208,,,,,,,
Yanbu,36,Porites,6,A,YL6-36A,461580,,,,,,,
Yanbu,36,Porites,7,A,YL7-36A,382026,,,,,,,-0.367841473
AlFahal,39,Stylophora,1,A,KS1-39A,1129245,,,,,,,
AlFahal,39,Stylophora,2,A,KS2-39A,926198,,,,,,,
AlFahal,39,Stylophora,3,A,KS3-39A,1363614,,,,,,,
AlFahal,39,Stylophora,4,A,KS4-39A,1270451,,,,,,,
AlFahal,39,Stylophora,5,A,KS5-39A,336482,,,,,,,
AlFahal,39,Stylophora,6,A,KS6-39A,1522158,,,,,,,
AlFahal,39,Stylophora,7,A,KS7-39A,1504516,,,,,,,
AlFahal,36,Porites,1,A,KL1-36A,760114,,,,,,,
AlFahal,36,Porites,2,A,KL2-36A,683874,,,,,,,
AlFahal,36,Porites,3,A,KL3-36A,765784,,,,,,,
AlFahal,36,Porites,4,A,KL4-36A,1372040,,,,,,,
AlFahal,36,Porites,5,A,KL5-36A,431170,,,,,,,
AlFahal,36,Porites,6,A,KL6-36A,426824,,,,,,,
AlFahal,36,Porites,7,A,KL7-36A,297998,,,,,,,
AlQunfudhah,36,Porites,1,A,QL1-36A,204101,,,,,,,
AlQunfudhah,36,Porites,2,A,QL2-36A,468979,,,,,,,
AlQunfudhah,36,Porites,3,A,QL3-36A,324913,,,,,,,
AlQunfudhah,36,Porites,4,A,QL4-36A,536430,,,,,,,
AlQunfudhah,36,Porites,5,A,QL5-36A,217383,,,,,,,
AlQunfudhah,36,Porites,6,A,QL6-36A,442201,,,,,,,
AlQunfudhah,36,Porites,7,A,QL7-36A,240112,,,,,,,
Yanbu,39,Porites,1,A,YL1-39A,31771,,,,,,,
Yanbu,39,Porites,2,A,YL2-39A,118169,,,,,,,
Yanbu,39,Porites,3,A,YL3-39A,179228,,,,,,,
Yanbu,39,Porites,4,A,YL4-39A,677492,,,,,,,
Yanbu,39,Porites,5,A,YL5-39A,384329,,,,,,,
Yanbu,39,Porites,6,A,YL6-39A,1021630,,,,,,,
Yanbu,39,Porites,7,A,YL7-39A,194494,,,,,,,
AlFahal,39,Porites,1,A,KL1-39A,763395,,,,,,,
AlFahal,39,Porites,2,A,KL2-39A,1508213,,,,,,,
AlFahal,39,Porites,3,A,KL3-39A,1286557,,,,,,,
AlFahal,39,Porites,4,A,KL4-39A,65560,,,,,,,
AlFahal,39,Porites,5,A,KL5-39A,723327,,,,,,,
AlFahal,39,Porites,6,A,KL6-39A,636773,,,,,,,
AlFahal,39,Porites,7,A,KL7-39A,516531,,,,,,,
AlQunfudhah,39,Porites,1,A,QL1-39A,1076308,,,,,,,
AlQunfudhah,39,Porites,2,A,QL2-39A,310490,,,,,,,
AlQunfudhah,39,Porites,3,A,QL3-39A,737587,,,,,,,
AlQunfudhah,39,Porites,4,A,QL4-39A,253031,,,,,,,
AlQunfudhah,39,Porites,5,A,QL5-39A,731275,,,,,,,
AlQunfudhah,39,Porites,6,A,QL6-39A,1179215,,,,,,,
AlQunfudhah,39,Porites,7,A,QL7-39A,1016907,,,,,,,-0.255126036
Eilat,36,Acropora,1,A,EA1-36A,6948,,,,,,,
Eilat,36,Acropora,2,A,EA2-36A,3359,,,,,,,
Eilat,36,Acropora,3,A,EA3-36A,4000,,,,,,,
Eilat,36,Acropora,4,A,EA4-36A,919,,,,,,,
Eilat,36,Acropora,5,A,EA5-36A,6416,,,,,,,
Eilat,36,Acropora,6,A,EA6-36A,2785,,,,,,,
Eilat,36,Acropora,7,A,EA7-36A,18044,,,,,,,-0.305384705
Eilat,30,Pocillopora,1,A,EP1-30A,44305,,,,,,,
Eilat,30,Pocillopora,2,A,EP2-30A,80764,,,,,,,
Eilat,30,Pocillopora,3,A,EP3-30A,41309,,,,,,,
Eilat,30,Pocillopora,4,A,EP4-30A,48701,,,,,,,
Eilat,30,Pocillopora,5,A,EP5-30A,37865,,,,,,,
Eilat,30,Pocillopora,6,A,EP6-30A,98794,,,,,,,
Eilat,30,Pocillopora,7,A,EP7-30A,47181,,,,,,,
AlWajh,39,Acropora,1,B,WA1-39B,222228,,,,,,,
AlWajh,39,Acropora,2,B,WA2-39B,185417,,,,,,,
AlWajh,39,Acropora,3,B,WA3-39B,267712,,,,,,,
AlWajh,39,Acropora,4,B,WA4-39B,146474,,,,,,,
AlWajh,39,Acropora,5,B,WA5-39B,237261,,,,,,,
AlWajh,39,Acropora,6,B,WA6-39B,369974,,,,,,,
AlWajh,39,Acropora,7,B,WA7-39B,139924,,,,,,,
Eilat,33,Pocillopora,1,A,EP1-33A,37347,,,,,,,
Eilat,33,Pocillopora,2,A,EP2-33A,28892,,,,,,,
Eilat,33,Pocillopora,3,A,EP3-33A,17186,,,,,,,
Eilat,33,Pocillopora,4,A,EP4-33A,11736,,,,,,,
Eilat,33,Pocillopora,5,A,EP5-33A,37948,,,,,,,
Eilat,33,Pocillopora,6,A,EP6-33A,18517,,,,,,,
Eilat,33,Pocillopora,7,A,EP7-33A,6595,,,,,,,
Yanbu,39,Acropora,1,A,YA1-39A,204849,,,,,,,
Yanbu,39,Acropora,2,A,YA2-39A,139532,,,,,,,
Yanbu,39,Acropora,3,A,YA3-39A,62228,,,,,,,
Yanbu,39,Acropora,4,A,YA4-39A,39758,,,,,,,
Yanbu,39,Acropora,5,A,YA5-39A,41025,,,,,,,
Yanbu,39,Acropora,6,A,YA6-39A,111302,,,,,,,
Yanbu,39,Acropora,7,A,YA7-39A,162154,,,,,,,
Eilat,36,Pocillopora,1,A,EP1-36A,9815,,,,,,,
Eilat,36,Pocillopora,2,A,EP2-36A,5699,,,,,,,
Eilat,36,Pocillopora,3,A,EP3-36A,5127,,,,,,,
Eilat,36,Pocillopora,4,A,EP4-36A,9264,,,,,,,
Eilat,36,Pocillopora,5,A,EP5-36A,7431,,,,,,,
Eilat,36,Pocillopora,6,A,EP6-36A,3897,,,,,,,
Eilat,36,Pocillopora,7,A,EP7-36A,26494,,,,,,,
Eilat,39,Acropora,1,A,EA1-39A,13712,,,,,,,
Eilat,39,Acropora,2,A,EA2-39A,8823,,,,,,,
Eilat,39,Acropora,3,A,EA3-39A,16337,,,,,,,
Eilat,39,Acropora,4,A,EA4-39A,11146,,,,,,,
Eilat,39,Acropora,5,A,EA5-39A,17742,,,,,,,
Eilat,39,Acropora,6,A,EA6-39A,5521,,,,,,,
Eilat,39,Acropora,7,A,EA7-39A,14717,,,,,,,-0.51
Eilat,39,Pocillopora,1,A,EP1-39A,3854,,,,,,,
Eilat,39,Pocillopora,2,A,EP2-39A,2652,,,,,,,
Eilat,39,Pocillopora,3,A,EP3-39A,49164,,,,,,,
Eilat,39,Pocillopora,4,A,EP4-39A,8944,,,,,,,
Eilat,39,Pocillopora,5,A,EP5-39A,28089,,,,,,,
Eilat,39,Pocillopora,6,A,EP6-39A,40042,,,,,,,
Eilat,39,Pocillopora,7,A,EP7-39A,80636,,,,,,,
Eilat,30,Stylophora,1,B,ES1-30B,857480,,,,,,,
Eilat,30,Stylophora,2,B,ES2-30B,608939,,,,,,,
Eilat,30,Stylophora,3,B,ES3-30B,917774,,,,,,,
Eilat,30,Stylophora,4,B,ES4-30B,448517,,,,,,,
Eilat,30,Stylophora,5,B,ES5-30B,489280,,,,,,,
Eilat,30,Stylophora,6,B,ES6-30B,994596,,,,,,,
Eilat,30,Stylophora,7,B,ES7-30B,654839,,,,,,,
Eilat,33,Stylophora,1,B,ES1-33B,521959,,,,,,,
Eilat,33,Stylophora,2,B,ES2-33B,426010,,,,,,,
Eilat,33,Stylophora,3,B,ES3-33B,374430,,,,,,,
Eilat,33,Stylophora,4,B,ES4-33B,806198,,,,,,,
Eilat,33,Stylophora,5,B,ES5-33B,416577,,,,,,,
Eilat,33,Stylophora,6,B,ES6-33B,1809163,,,,,,,
Eilat,33,Stylophora,7,B,ES7-33B,596156,,,,,,,
Eilat,36,Stylophora,1,B,ES1-36B,471606,,,,,,,
Eilat,36,Stylophora,2,B,ES2-36B,235706,,,,,,,
Eilat,36,Stylophora,3,B,ES3-36B,359595,,,,,,,
Eilat,36,Stylophora,4,B,ES4-36B,1313442,,,,,,,
Eilat,36,Stylophora,5,B,ES5-36B,135441,,,,,,,
Eilat,36,Stylophora,6,B,ES6-36B,467850,,,,,,,
Eilat,36,Stylophora,7,B,ES7-36B,210608,,,,,,,
Eilat,39,Stylophora,1,A,ES1-39A,49073,,,,,,,
Eilat,39,Stylophora,2,A,ES2-39A,28219,,,,,,,
Eilat,39,Stylophora,3,A,ES3-39A,168464,,,,,,,
Eilat,39,Stylophora,4,A,ES4-39A,17378,,,,,,,
Eilat,39,Stylophora,5,A,ES5-39A,77672,,,,,,,
Eilat,39,Stylophora,6,A,ES6-39A,165666,,,,,,,
Eilat,39,Stylophora,7,A,ES7-39A,55427,,,,,,,
