Site,Temp,Species,Geno,Rep,Label,Chl_cm2
Al Wajh,30,Pocillopora,1,B,WP1-30B,9.117
Al Wajh,30,Pocillopora,2,B,WP2-30B,6.113
Al Wajh,30,Pocillopora,3,B,WP3-30B,7.915
Al Wajh,30,Pocillopora,4,B,WP4-30B,6.634
Al Wajh,30,Pocillopora,5,B,WP5-30B,6.24
Al Wajh,30,Pocillopora,7,B,WP7-30B,5.928
Al Wajh,33,Pocillopora,1,B,WP1-33B,9.293
Al Wajh,33,Pocillopora,2,B,WP2-33B,9.007
Al Wajh,33,Pocillopora,3,B,WP3-33B,8.223
Al Wajh,33,Pocillopora,4,B,WP4-33B,7.509
Al Wajh,33,Pocillopora,5,B,WP5-33B,3.366
Al Wajh,33,Pocillopora,6,B,WP6-33B,8.739
Al Wajh,33,Pocillopora,7,B,WP7-33B,5.682
Al Wajh,36,Pocillopora,1,B,WP1-36B,5.358
Al Wajh,36,Pocillopora,2,B,WP2-36B,7.878
Al Wajh,36,Pocillopora,3,B,WP3-36B,2.639
Al Wajh,36,Pocillopora,4,B,WP4-36B,3.296
Al Wajh,36,Pocillopora,5,B,WP5-36B,2.637
Al Wajh,36,Pocillopora,6,B,WP6-36B,9.24
Al Wajh,36,Pocillopora,7,B,WP7-36B,2.018
Al Wajh,39,Pocillopora,1,B,WP1-39B,0.665
Al Wajh,39,Pocillopora,2,B,WP2-39B,0.756
Al Wajh,39,Pocillopora,3,B,WP3-39B,0.406
Al Wajh,39,Pocillopora,4,B,WP4-39B,0.527
Al Wajh,39,Pocillopora,5,B,WP5-39B,0.615
Al Wajh,39,Pocillopora,6,B,WP6-39B,0.706
Al Wajh,39,Pocillopora,7,B,WP7-39B,0.771
Eilat,30,Pocillopora,1,A,EP1-30A,0.493
Eilat,30,Pocillopora,2,A,EP2-30A,0.692
Eilat,30,Pocillopora,3,A,EP3-30A,0.368
Eilat,30,Pocillopora,4,A,EP4-30A,0.54
Eilat,30,Pocillopora,5,A,EP5-30A,0.301
Eilat,30,Pocillopora,6,A,EP6-30A,1.136
Eilat,30,Pocillopora,7,A,EP7-30A,0.46
Eilat,33,Pocillopora,1,A,EP1-33A,0.494
Eilat,33,Pocillopora,2,A,EP2-33A,0.223
Eilat,33,Pocillopora,3,A,EP3-33A,0.266
Eilat,33,Pocillopora,4,A,EP4-33A,0.217
Eilat,33,Pocillopora,5,A,EP5-33A,0.429
Eilat,33,Pocillopora,6,A,EP6-33A,0.269
Eilat,33,Pocillopora,7,A,EP7-33A,0.148
Eilat,36,Pocillopora,1,A,EP1-36A,0.18
Eilat,36,Pocillopora,2,A,EP2-36A,0.116
Eilat,36,Pocillopora,3,A,EP3-36A,0.144
Eilat,36,Pocillopora,4,A,EP4-36A,0.132
Eilat,36,Pocillopora,5,A,EP5-36A,0.11
Eilat,36,Pocillopora,6,A,EP6-36A,0.224
Eilat,36,Pocillopora,7,A,EP7-36A,0.47
Eilat,39,Pocillopora,1,A,EP1-39A,0.155
Eilat,39,Pocillopora,2,A,EP2-39A,0.117
Eilat,39,Pocillopora,3,A,EP3-39A,0.459
Eilat,39,Pocillopora,4,A,EP4-39A,0.235
Eilat,39,Pocillopora,5,A,EP5-39A,0.308
Eilat,39,Pocillopora,6,A,EP6-39A,0.287
Eilat,39,Pocillopora,7,A,EP7-39A,1.205
Yanbu,30,Pocillopora,1,A,YP1-30A,4.481
Yanbu,30,Pocillopora,2,A,YP2-30A,5.179
Yanbu,30,Pocillopora,3,A,YP3-30A,5.628
Yanbu,30,Pocillopora,4,A,YP4-30A,3.677
Yanbu,30,Pocillopora,5,A,YP5-30A,2.343
Yanbu,30,Pocillopora,6,A,YP6-30A,7.725
Yanbu,30,Pocillopora,7,A,YP7-30A,4.916
Yanbu,33,Pocillopora,1,A,YP1-33A,3.859
Yanbu,33,Pocillopora,2,A,YP2-33A,4.542
Yanbu,33,Pocillopora,3,A,YP3-33A,3.19
Yanbu,33,Pocillopora,4,A,YP4-33A,3.833
Yanbu,33,Pocillopora,5,A,YP5-33A,1.955
Yanbu,33,Pocillopora,6,A,YP6-33A,8.282
Yanbu,33,Pocillopora,7,A,YP7-33A,9.818
Yanbu,36,Pocillopora,1,A,YP1-36A,1.961
Yanbu,36,Pocillopora,2,A,YP2-36A,1.605
Yanbu,36,Pocillopora,3,A,YP3-36A,0.906
Yanbu,36,Pocillopora,4,A,YP4-36A,0.464
Yanbu,36,Pocillopora,5,A,YP5-36A,2.096
Yanbu,36,Pocillopora,6,A,YP6-36A,4.195
Yanbu,36,Pocillopora,7,A,YP7-36A,2.381
Yanbu,39,Pocillopora,1,A,YP1-39A,0.451
Yanbu,39,Pocillopora,2,A,YP2-39A,0.41
Yanbu,39,Pocillopora,3,A,YP3-39A,0.687
Yanbu,39,Pocillopora,4,A,YP4-39A,0.381
Yanbu,39,Pocillopora,5,A,YP5-39A,0.35
Yanbu,39,Pocillopora,6,A,YP6-39A,0.263
Yanbu,39,Pocillopora,7,A,YP7-39A,0.566
